delivery_id,lot_id,carrier_id,dispatch_date,transit_days,arrival_date,ship_cutoff_day,on_time,missed_ship,on_time_flag,missed_ship_flag,value_retained
DLV-00001,LOT-00001,CAR-A,2026-07-30,4.56,2026-08-03,16,True,False,1,0,0.9316
DLV-00002,LOT-00002,CAR-B,2026-06-08,13.97,2026-06-21,16,True,False,1,0,0.7904
DLV-00003,LOT-00003,CAR-B,2026-07-07,14.37,2026-07-21,16,True,False,1,0,0.7844
DLV-00004,LOT-00004,CAR-A,2026-07-10,38.89,2026-08-17,16,False,True,0,1,0.0
DLV-00005,LOT-00005,CAR-B,2026-07-18,12.61,2026-07-30,16,True,False,1,0,0.8109
DLV-00006,LOT-00006,CAR-B,2026-05-09,15.05,2026-05-24,16,True,False,1,0,0.7742
DLV-00007,LOT-00007,CAR-A,2026-06-02,5.45,2026-06-07,16,True,False,1,0,0.9182
DLV-00008,LOT-00008,CAR-B,2026-07-02,14.98,2026-07-16,16,True,False,1,0,0.7753
DLV-00009,LOT-00009,CAR-B,2026-06-09,14.75,2026-06-23,16,True,False,1,0,0.7788
DLV-00010,LOT-00010,CAR-A,2026-05-21,24.3,2026-06-14,16,False,True,0,1,0.0
DLV-00011,LOT-00011,CAR-B,2026-07-12,15.45,2026-07-27,16,True,False,1,0,0.7682
DLV-00012,LOT-00012,CAR-B,2026-07-15,12.72,2026-07-27,16,True,False,1,0,0.8092
DLV-00013,LOT-00013,CAR-A,2026-08-04,5.62,2026-08-09,16,True,False,1,0,0.9157
DLV-00014,LOT-00014,CAR-A,2026-05-29,14.16,2026-06-12,16,True,False,1,0,0.7876
DLV-00015,LOT-00015,CAR-B,2026-07-22,12.85,2026-08-03,16,True,False,1,0,0.8072
DLV-00016,LOT-00016,CAR-B,2026-06-04,13.95,2026-06-17,16,True,False,1,0,0.7908
DLV-00017,LOT-00017,CAR-A,2026-06-01,19.27,2026-06-20,16,False,True,0,1,0.0
DLV-00018,LOT-00018,CAR-B,2026-08-07,14.44,2026-08-21,16,True,False,1,0,0.7834
DLV-00019,LOT-00019,CAR-B,2026-07-09,14.34,2026-07-23,16,True,False,1,0,0.7849
DLV-00020,LOT-00020,CAR-A,2026-05-10,8.37,2026-05-18,16,True,False,1,0,0.8744
DLV-00021,LOT-00021,CAR-A,2026-05-31,5.59,2026-06-05,16,True,False,1,0,0.9162
DLV-00022,LOT-00022,CAR-A,2026-05-02,7.49,2026-05-09,16,True,False,1,0,0.8876
DLV-00023,LOT-00023,CAR-B,2026-06-28,12.04,2026-07-10,16,True,False,1,0,0.8194
DLV-00024,LOT-00024,CAR-B,2026-05-23,14.75,2026-06-06,16,True,False,1,0,0.7788
DLV-00025,LOT-00025,CAR-A,2026-07-08,3.22,2026-07-11,16,True,False,1,0,0.9517
DLV-00026,LOT-00026,CAR-B,2026-05-29,13.93,2026-06-11,16,True,False,1,0,0.791
DLV-00027,LOT-00027,CAR-A,2026-05-13,4.03,2026-05-17,16,True,False,1,0,0.9396
DLV-00028,LOT-00028,CAR-B,2026-07-07,14.7,2026-07-21,16,True,False,1,0,0.7795
DLV-00029,LOT-00029,CAR-A,2026-05-19,19.94,2026-06-07,16,False,True,0,1,0.0
DLV-00030,LOT-00030,CAR-B,2026-07-15,12.98,2026-07-27,16,True,False,1,0,0.8053
DLV-00031,LOT-00031,CAR-A,2026-06-03,5.43,2026-06-08,16,True,False,1,0,0.9186
DLV-00032,LOT-00032,CAR-B,2026-07-04,13.67,2026-07-17,16,True,False,1,0,0.795
DLV-00033,LOT-00033,CAR-A,2026-06-02,15.97,2026-06-17,16,True,False,1,0,0.7604
DLV-00034,LOT-00034,CAR-A,2026-07-28,3.22,2026-07-31,16,True,False,1,0,0.9517
DLV-00035,LOT-00035,CAR-B,2026-05-21,13.39,2026-06-03,16,True,False,1,0,0.7992
DLV-00036,LOT-00036,CAR-A,2026-06-09,9.88,2026-06-18,16,True,False,1,0,0.8518
DLV-00037,LOT-00037,CAR-B,2026-08-06,12.71,2026-08-18,16,True,False,1,0,0.8094
DLV-00038,LOT-00038,CAR-A,2026-05-13,4.94,2026-05-17,16,True,False,1,0,0.9259
DLV-00039,LOT-00039,CAR-A,2026-06-06,3.0,2026-06-09,16,True,False,1,0,0.955
DLV-00040,LOT-00040,CAR-A,2026-05-19,3.31,2026-05-22,16,True,False,1,0,0.9504
DLV-00041,LOT-00041,CAR-B,2026-05-10,13.74,2026-05-23,16,True,False,1,0,0.7939
DLV-00042,LOT-00042,CAR-B,2026-07-04,14.81,2026-07-18,16,True,False,1,0,0.7778
DLV-00043,LOT-00043,CAR-B,2026-06-16,13.89,2026-06-29,16,True,False,1,0,0.7916
DLV-00044,LOT-00044,CAR-A,2026-07-25,3.04,2026-07-28,16,True,False,1,0,0.9544
DLV-00045,LOT-00045,CAR-B,2026-07-18,15.77,2026-08-02,16,True,False,1,0,0.7634
DLV-00046,LOT-00046,CAR-B,2026-08-08,15.44,2026-08-23,16,True,False,1,0,0.7684
DLV-00047,LOT-00047,CAR-A,2026-05-11,22.31,2026-06-02,16,False,True,0,1,0.0
DLV-00048,LOT-00048,CAR-B,2026-06-16,13.17,2026-06-29,16,True,False,1,0,0.8024
DLV-00049,LOT-00049,CAR-A,2026-08-02,4.94,2026-08-06,16,True,False,1,0,0.9259
DLV-00050,LOT-00050,CAR-A,2026-08-06,17.06,2026-08-23,16,False,True,0,1,0.0
DLV-00051,LOT-00051,CAR-B,2026-06-08,13.06,2026-06-21,16,True,False,1,0,0.8041
DLV-00052,LOT-00052,CAR-A,2026-06-24,3.7,2026-06-27,16,True,False,1,0,0.9445
DLV-00053,LOT-00053,CAR-A,2026-05-08,3.62,2026-05-11,16,True,False,1,0,0.9457
DLV-00054,LOT-00054,CAR-A,2026-07-20,3.08,2026-07-23,16,True,False,1,0,0.9538
DLV-00055,LOT-00055,CAR-B,2026-05-31,13.29,2026-06-13,16,True,False,1,0,0.8007
DLV-00056,LOT-00056,CAR-A,2026-06-07,4.93,2026-06-11,16,True,False,1,0,0.926
DLV-00057,LOT-00057,CAR-A,2026-05-23,16.71,2026-06-08,16,False,True,0,1,0.0
DLV-00058,LOT-00058,CAR-A,2026-05-23,6.27,2026-05-29,16,True,False,1,0,0.906
DLV-00059,LOT-00059,CAR-A,2026-05-25,3.0,2026-05-28,16,True,False,1,0,0.955
DLV-00060,LOT-00060,CAR-A,2026-06-08,7.17,2026-06-15,16,True,False,1,0,0.8924
