week,tier,tier_rank,orders_placed,true_consumer_demand,pct_vs_baseline
0,consumer,0,1009.2,1009.2,0.0072
1,consumer,0,1003.2,1003.2,0.0012
2,consumer,0,1000.9,1000.9,-0.0011
3,consumer,0,1009.1,1009.1,0.007
4,consumer,0,1002.6,1002.6,0.0006
5,consumer,0,1000.8,1000.8,-0.0012
6,consumer,0,999.2,999.2,-0.0028
7,consumer,0,1002.6,1002.6,0.0005
8,consumer,0,994.0,994.0,-0.008
9,consumer,0,1009.7,1009.7,0.0077
10,consumer,0,993.1,993.1,-0.0089
11,consumer,0,999.3,999.3,-0.0027
12,consumer,0,997.4,997.4,-0.0046
13,consumer,0,1001.8,1001.8,-0.0002
14,consumer,0,1009.7,1009.7,0.0076
15,consumer,0,1005.4,1005.4,0.0034
16,consumer,0,1006.8,1006.8,0.0048
17,consumer,0,1007.7,1007.7,0.0057
18,consumer,0,996.8,996.8,-0.0052
19,consumer,0,999.4,999.4,-0.0026
20,consumer,0,999.5,999.5,-0.0025
21,consumer,0,1011.8,1011.8,0.0097
22,consumer,0,991.0,991.0,-0.011
23,consumer,0,995.9,995.9,-0.0061
24,consumer,0,1004.2,1004.2,0.0022
25,consumer,0,1001.2,1001.2,-0.0008
26,consumer,0,1056.6,1056.6,0.0545
27,consumer,0,1052.3,1052.3,0.0501
28,consumer,0,1052.8,1052.8,0.0507
29,consumer,0,1044.6,1044.6,0.0425
30,consumer,0,1039.3,1039.3,0.0372
31,consumer,0,1045.8,1045.8,0.0437
32,consumer,0,1050.3,1050.3,0.0482
33,consumer,0,1033.3,1033.3,0.0312
34,consumer,0,1050.5,1050.5,0.0484
35,consumer,0,1058.3,1058.3,0.0561
36,consumer,0,1048.1,1048.1,0.046
37,consumer,0,1050.3,1050.3,0.0482
38,consumer,0,1044.8,1044.8,0.0428
39,consumer,0,1053.3,1053.3,0.0512
40,consumer,0,1050.1,1050.1,0.048
41,consumer,0,1047.7,1047.7,0.0456
42,consumer,0,1051.1,1051.1,0.049
43,consumer,0,1051.1,1051.1,0.049
44,consumer,0,1037.0,1037.0,0.0349
45,consumer,0,1062.7,1062.7,0.0606
46,consumer,0,1053.9,1053.9,0.0517
47,consumer,0,1048.8,1048.8,0.0467
48,consumer,0,1050.1,1050.1,0.048
49,consumer,0,1047.5,1047.5,0.0454
50,consumer,0,1059.0,1059.0,0.0568
51,consumer,0,1060.2,1060.2,0.0581
0,retailer,1,1009.2,1009.2,0.007
1,retailer,1,1009.2,1003.2,0.007
2,retailer,1,998.9,1000.9,-0.0033
3,retailer,1,999.3,1009.1,-0.0029
4,retailer,1,1014.9,1002.6,0.0127
5,retailer,1,998.0,1000.8,-0.0042
6,retailer,1,999.5,999.2,-0.0027
7,retailer,1,998.1,1002.6,-0.0041
8,retailer,1,1005.0,994.0,0.0028
9,retailer,1,987.8,1009.7,-0.0144
10,retailer,1,1021.1,993.1,0.0188
11,retailer,1,981.1,999.3,-0.021
12,retailer,1,1003.8,997.4,0.0016
13,retailer,1,995.9,1001.8,-0.0062
14,retailer,1,1004.9,1009.7,0.0028
15,retailer,1,1015.3,1005.4,0.0131
16,retailer,1,1002.4,1006.8,0.0002
17,retailer,1,1007.8,1007.7,0.0056
18,retailer,1,1008.3,996.8,0.0061
19,retailer,1,989.0,999.4,-0.0132
20,retailer,1,1001.3,999.5,-0.0009
21,retailer,1,999.6,1011.8,-0.0026
22,retailer,1,1020.6,991.0,0.0184
23,retailer,1,976.1,995.9,-0.026
24,retailer,1,999.4,1004.2,-0.0027
25,retailer,1,1010.2,1001.2,0.008
26,retailer,1,999.1,1056.6,-0.0031
27,retailer,1,1096.5,1052.3,0.0941
28,retailer,1,1049.1,1052.8,0.0468
29,retailer,1,1053.2,1044.6,0.0509
30,retailer,1,1038.8,1039.3,0.0365
31,retailer,1,1035.4,1045.8,0.0331
32,retailer,1,1050.6,1050.3,0.0483
33,retailer,1,1053.5,1033.3,0.0513
34,retailer,1,1021.1,1050.5,0.0189
35,retailer,1,1062.9,1058.3,0.0606
36,retailer,1,1063.8,1048.1,0.0615
37,retailer,1,1040.8,1050.3,0.0385
38,retailer,1,1052.0,1044.8,0.0497
39,retailer,1,1040.9,1053.3,0.0386
40,retailer,1,1059.4,1050.1,0.0571
41,retailer,1,1047.8,1047.7,0.0455
42,retailer,1,1046.0,1051.1,0.0437
43,retailer,1,1053.5,1051.1,0.0513
44,retailer,1,1051.0,1037.0,0.0488
45,retailer,1,1026.8,1062.7,0.0246
46,retailer,1,1081.2,1053.9,0.0789
47,retailer,1,1047.5,1048.8,0.0452
48,retailer,1,1045.1,1050.1,0.0429
49,retailer,1,1051.0,1047.5,0.0488
50,retailer,1,1045.6,1059.0,0.0434
51,retailer,1,1067.2,1060.2,0.0649
0,exporter,2,1009.2,1009.2,0.0074
1,exporter,2,1009.2,1003.2,0.0074
2,exporter,2,1009.2,1000.9,0.0074
3,exporter,2,989.4,1009.1,-0.0124
4,exporter,2,999.6,1002.6,-0.0022
5,exporter,2,1029.3,1000.8,0.0275
6,exporter,2,982.4,999.2,-0.0194
7,exporter,2,1000.8,1002.6,-0.001
8,exporter,2,996.8,994.0,-0.005
9,exporter,2,1011.3,1009.7,0.0095
10,exporter,2,972.0,993.1,-0.0298
11,exporter,2,1051.7,999.3,0.0498
12,exporter,2,944.4,997.4,-0.0573
13,exporter,2,1024.7,1001.8,0.0229
14,exporter,2,988.7,1009.7,-0.0131
15,exporter,2,1013.2,1005.4,0.0114
16,exporter,2,1024.9,1006.8,0.0231
17,exporter,2,990.5,1007.7,-0.0113
18,exporter,2,1012.8,996.8,0.011
19,exporter,2,1008.8,999.4,0.007
20,exporter,2,971.1,999.5,-0.0306
21,exporter,2,1012.7,1011.8,0.0108
22,exporter,2,997.9,991.0,-0.0038
23,exporter,2,1040.0,995.9,0.0381
24,exporter,2,935.1,1004.2,-0.0666
25,exporter,2,1020.9,1001.2,0.0191
26,exporter,2,1020.0,1056.6,0.0182
27,exporter,2,988.9,1052.3,-0.0128
28,exporter,2,1186.0,1052.8,0.1839
29,exporter,2,1005.6,1044.6,0.0038
30,exporter,2,1057.0,1039.3,0.0551
31,exporter,2,1025.5,1045.8,0.0236
32,exporter,2,1032.3,1050.3,0.0304
33,exporter,2,1064.6,1033.3,0.0627
34,exporter,2,1056.3,1050.5,0.0544
35,exporter,2,991.2,1058.3,-0.0106
36,exporter,2,1101.3,1048.1,0.0994
37,exporter,2,1064.7,1050.3,0.0628
