INSTNM,INSTURL
Alabama A & M University,www.aamu.edu/
University of Alabama at Birmingham,https://www.uab.edu/
Amridge University,https://www.amridgeuniversity.edu/
University of Alabama in Huntsville,www.uah.edu/
Alabama State University,www.alasu.edu/
The University of Alabama,www.ua.edu/
Central Alabama Community College,www.cacc.edu/
Athens State University,https://www.athens.edu/
Auburn University at Montgomery,www.aum.edu/
Auburn University,www.auburn.edu/
Birmingham-Southern College,www.bsc.edu/
Chattahoochee Valley Community College,https://www.cv.edu/
South University-Montgomery,www.southuniversity.edu/
Enterprise State Community College,www.escc.edu/
Coastal Alabama Community College,www.coastalalabama.edu/
Faulkner University,www.faulkner.edu/
Gadsden State Community College,www.gadsdenstate.edu/
New Beginning College of Cosmetology,www.nbccosmetology.com/
George C Wallace Community College-Dothan,www.wallace.edu/
George C Wallace State Community College-Hanceville,https://www.wallacestate.edu/
George C Wallace State Community College-Selma,https://www.wccs.edu/
Herzing University-Birmingham,https://www.herzing.edu/
Huntingdon College,https://www.huntingdon.edu/
Heritage Christian University,www.hcu.edu/
J. F. Drake State Community and Technical College,https://drakestate.edu/
J F Ingram State Technical College,www.istc.edu/
Jacksonville State University,www.jsu.edu/
Jefferson State Community College,www.jeffersonstate.edu/
John C Calhoun State Community College,https://calhoun.edu/
Lawson State Community College,www.lawsonstate.edu/
University of West Alabama,www.uwa.edu/
Lurleen B Wallace Community College,https://www.lbwcc.edu/
Marion Military Institute,www.marionmilitary.edu/
Miles College,https://www.miles.edu/
University of Mobile,https://www.umobile.edu/
University of Montevallo,www.montevallo.edu/
Northwest Shoals Community College,https://www.nwscc.edu/
University of North Alabama,https://www.una.edu/
Northeast Alabama Community College,https://www.nacc.edu/
Oakwood University,https://www2.oakwood.edu/
Reid State Technical College,www.rstc.edu/
Bishop State Community College,www.bishop.edu/
Samford University,www.samford.edu/
Selma University,https://selmau.edu/
Shelton State Community College,www.sheltonstate.edu/
Snead State Community College,www.snead.edu/
University of South Alabama,www.southalabama.edu/
Spring Hill College,https://www.shc.edu/
Stillman College,https://stillman.edu/
Talladega College,www.talladega.edu/
H Councill Trenholm State Community College,www.trenholmstate.edu/
Troy University,www.troy.edu/
Tuskegee University,www.tuskegee.edu/
United States Sports Academy,www.ussa.edu/
Bevill State Community College,www.bscc.edu/
University of Alaska Anchorage,www.uaa.alaska.edu/
Alaska Bible College,www.akbible.edu/
University of Alaska Fairbanks,www.uaf.edu/
University of Alaska Southeast,www.uas.alaska.edu/
Alaska Pacific University,www.alaskapacific.edu/
Alaska Vocational Technical Center,www.avtec.edu/
Charter College,https://chartercollege.edu/
Alaska Career College,www.alaskacareercollege.edu/
Empire Beauty School-Tucson,www.empire.edu/
Carrington College-Phoenix North,https://carrington.edu/
Carrington College-Mesa,https://carrington.edu/
Carrington College-Tucson,https://carrington.edu/
Arizona Academy of Beauty,www.arizonaacademy.com/
Miller-Motte College-Arizona Automotive Institute,www.aai.edu/
Brookline College-Phoenix,www.brooklinecollege.edu/
Arizona State University Campus Immersion,www.asu.edu/
Arizona Western College,https://www.azwestern.edu/
University of Arizona,https://www.arizona.edu/
Central Arizona College,www.centralaz.edu/
Charles of Italy Beauty College,www.charlesofitaly.edu/
Cochise County Community College District,https://www.cochise.edu/
Empire Beauty School-Chandler,www.empire.edu/
Avalon Institute-Mesa,avalon.edu/mesa-az/
Eastern Arizona College,www.eac.edu/
Embry-Riddle Aeronautical University-Prescott,prescott.erau.edu/
The School of Architecture,https://tsoa.edu/
Glendale Community College,www.gccaz.edu/
Grand Canyon University,www.gcu.edu/
GateWay Community College,www.gatewaycc.edu/
Mesa Community College,www.mesacc.edu/
Mohave Community College,https://www.mohave.edu/
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,www.uti.edu/
Dine College,https://www.dinecollege.edu/
Northern Arizona University,https://nau.edu/
Northland Pioneer College,www.npc.edu/
Phoenix College,www.phoenixcollege.edu/
Pima Community College,www.pima.edu/
Pima Medical Institute-Tucson,https://pmi.edu/
Pima Medical Institute-Albuquerque,https://pmi.edu/
Prescott College,https://prescott.edu/
Refrigeration School Inc,https://www.rsi.edu/
Rio Salado College,www.rio.maricopa.edu/
Roberto-Venn School of Luthiery,www.roberto-venn.com/
Scottsdale Community College,www.scottsdalecc.edu/
South Mountain Community College,www.southmountaincc.edu/
Arizona Christian University,arizonachristian.edu/
Universal Technical Institute of Arizona Inc,www.uti.edu/
Yavapai College,https://www.yc.edu/
University of Arkansas at Little Rock,ualr.edu/www/
University of Arkansas for Medical Sciences,https://www.uams.edu/
Arkansas Baptist College,https://www.arkansasbaptist.edu/
Arkansas Beauty School-Little Rock,arbs.edu/
Arkansas Beauty College,https://www.arkansasbeautycollege.us/
Lyon College,www.lyon.edu/
Arkansas Technical School,www.arktech.edu/
University of Arkansas,https://www.uark.edu/
University of Arkansas at Pine Bluff,www.uapb.edu/
Arkansas State University-Beebe,www.asub.edu/
Arkansas State University,www.astate.edu/
Arkansas Tech University,https://www.atu.edu/
University of Arkansas at Monticello,www.uamont.edu/
Arthur's Beauty College,arthursbeautycollege.com/
Baptist Health College Little Rock,https://www.bhclr.edu/
Black River Technical College,www.blackrivertech.edu/
University of Central Arkansas,www.uca.edu/
Central Baptist College,www.cbc.edu/
Cossatot Community College of the University of Arkansas,www.cccua.edu/
Crowley's Ridge College,www.crc.edu/
East Arkansas Community College,https://www.eacc.edu/
Paul Mitchell the School-Little Rock,paulmitchell.edu/littlerock
National Park College,www.np.edu/
University of Arkansas Community College-Batesville,www.uaccb.edu/
Harding University,www.harding.edu/
Henderson State University,https://www.hsu.edu/
Hendrix College,https://www.hendrix.edu/
Hot Springs Beauty College,hotspringsbeautycollege.com/
Jefferson Regional School of Nursing,www.jrmc.org/
John Brown University,https://www.jbu.edu/
Career Academy of Hair Design,www.beautynwa.com/
Academy of Salon and Spa,www.academysalonspa.com/
Arkansas State University Mid-South,www.asumidsouth.edu/
Arkansas Northeastern College,www.anc.edu/
New Tyler Barber College Inc,newtylerbarbercollege.edu/
North Arkansas College,www.northark.edu/
Northwest Technical Institute,www.nwti.edu/
Ouachita Baptist University,obu.edu/
Arkansas State University Three Rivers,www.asutr.edu/
Ozarka College,https://www.ozarka.edu/
University of the Ozarks,https://ozarks.edu/
University of Arkansas Community College-Morrilton,www.uaccm.edu/
Philander Smith University,https://www.philander.edu/
Phillips Community College of the University of Arkansas,www.pccua.edu/
Southeast Arkansas College,https://www.seark.edu/
University of Aesthetics & Cosmetology,https://www.pcec.edu/
University of Arkansas-Pulaski Technical College,uaptc.edu/
University of Arkansas Hope-Texarkana,www.uaht.edu/
University of Arkansas Community College Rich Mountain,https://www.uarichmountain.edu/
Paul Mitchell the School-Arkansas,https://paulmitchell.edu/arkansas/
Searcy Beauty College,searcybeautycollege.com/
Shorter College,www.shortercollege.edu/
Williams Baptist University,https://williamsbaptistuniversity.com/
South Arkansas College,www.southark.edu/
Southern Arkansas University Main Campus,https://www.saumag.edu/
Southern Arkansas University Tech,www.sautech.edu/
Velvatex College of Beauty Culture,www.velvatexcollege.com/
University of Arkansas-Fort Smith,https://uafs.edu/
Academy of Art University,www.academyart.edu/
Academy of Chinese Culture and Health Sciences,www.acchs.edu/
College of Alameda,https://alameda.edu/
Allan Hancock College,www.hancockcollege.edu/
American Academy of Dramatic Arts-Los Angeles,www.aada.edu/
Berkeley School of Theology,www.bst.edu/
American Film Institute Conservatory,www.afi.com/
American Beauty College,https://www.americanbeautycollege.edu/
American Career College-Los Angeles,https://americancareercollege.edu/
American River College,https://www.arc.losrios.edu/
Antelope Valley Community College District,www.avc.edu/
Art Center College of Design,www.artcenter.edu/
Associated Technical College-Los Angeles,www.atcla.edu/
Associated Technical College-San Diego,www.atcsd.edu/
Azusa Pacific University,www.apu.edu/
Bakersfield College,https://www.bakersfieldcollege.edu/
Barstow Community College,www.barstow.edu/
Bellus Academy-Chula Vista,www.bellusacademy.edu/
Bethesda University,www.buc.edu/
Biola University,https://www.biola.edu/
Brownson Technical School,https://brownson.edu/
Bryan University,bryanuniversity.edu/
Butte College,www.butte.edu/
California Institute of Integral Studies,https://www.ciis.edu/
Cabrillo College,https://www.cabrillo.edu/
California Baptist University,www.calbaptist.edu/
California College of the Arts,www.cca.edu/
University of California College of the Law-San Francisco,www.uclawsf.edu/
California Institute of Technology,www.caltech.edu/
California Lutheran University,www.callutheran.edu/
California Polytechnic State University-San Luis Obispo,calpoly.edu/
Alliant International University-San Diego,https://www.alliant.edu/
California State University-Bakersfield,www.csub.edu/
California State University-Stanislaus,https://www.csustan.edu/
California State University-San Bernardino,www.csusb.edu/
California State Polytechnic University-Pomona,www.cpp.edu/
California State University-Chico,www.csuchico.edu/
California State University-Dominguez Hills,https://www.csudh.edu/
California State University-Fresno,www.fresnostate.edu/
