institution,latitude,longitude
"Foragr Medicines, Inc",35.912108,-79.074151
TeIAS,38.612316,27.353216
Ashoka University,30.33818,-91.10352
Simula UiB,-24.97669,17.28107
Universidad Nacional de Córdoba,40.040419,-1.647428
Babeș-Bolyai University,30.693812,-88.173581
Monash University Indonesia,0.884713,122.68639
NWPU,17.949839,120.49055
University of Würzburg,50.08783,8.813099
Chung-Ang University,17.324068,78.416882
Northwest University,38.799519,-90.005086
VNIT Nagpur,24.51462,86.90473
Institut Polytechnique de Paris,51.611138,11.889229
Northeastern University (China),35.464647,-80.599856
Tata Inst. of Fundamental Research,29.421934,82.922725
TOBB ETÜ,16.710512,81.115105
Nara Institute of Science and Technology,52.93716,-1.184271
Özyeğin University,28.597706,-81.219955
Yangzhou University,28.597706,-81.219955
University of Münster,41.549374,-87.503236
SUAT,-3.037342,115.125244
HSE University,44.979909,-93.237537
Khulna University of Engineering & Technology,40.924564,40.275741
Qatar Computing Research Institute,39.135199,-77.219512
Maynooth University,53.385981,-6.597113
Radiosight Llc,40.737394,-74.043092
Ravenshaw University,20.463621,85.892166
University of Osnabrück,40.924564,40.275741
Rajshahi University of Engineering & Technology,40.924564,40.275741
Queen’s University,44.567833,-76.325951
University of Tübingen,40.924564,40.275741
University of Antwerp,40.924564,40.275741
University of Moratuwa,40.924564,40.275741
GSSI,38.785625,35.6114
Sichuan University,40.991917,28.713736
MUST,-6.296435,107.034424
Jadavpur University,22.497898,88.3702
Yıldız Technical University,41.024437,29.038731
Universidade de Brasília,-16.569377,-49.304349
University of Verona,40.499665,-79.794278
Malmö University,36.610731,-88.322632
City University of Macau,-35.278766,149.123454
USP-ICMC,8.16667,34.68333
University of Rajshahi,40.924564,40.275741
Plaksha University,28.597706,-81.219955
Tianjin University,28.597706,-81.219955
National Institute of Technology Warangal,17.98174,79.5277
IIT Palakkad,10.761898,76.658424
University of Geneva,41.857747,-80.94011
Griffith University,41.755738,-88.330538
JUST,40.423,-3.69758
Mälardalen University,28.597706,-81.219955
Université de Mons,45.380963,-71.979106
Mohammed VI Polytechnic University,7.422031,3.90955
University of Regensburg,40.924564,40.275741
IMDEA Software Institute,-33.802719,150.986084
Beijing Normal University,40.514572,-88.993244
IMSc,46.780167,9.316995
Chalmers/GU,34.798949,-82.375192
University of Basel,40.924564,40.275741
Jilin University,28.597706,-81.219955
The Hong Kong Polytechnic University,-23.338585,-51.172452
University of Dhaka,40.924564,40.275741
University of Macau,40.924564,40.275741
RWTH Aachen University,38.666672,-90.314973
