institution,latitude,longitude,street_address,city,zip_code,country
BUPT,39.9602,116.35194,100088,Beijing,,China
University of Miami,25.717272,-80.27871,Dickenson Drive,Coral Gables,33146,United States
University of Connecticut,41.82176,-72.242775,Horsebarn Hill Road,Storrs,06269,United States
CUHK (SZ),22.69155,114.208374,518115,Shenzhen Shi,,China
ShanghaiTech University,31.17943,121.59023,201204,Shanghai,,China
Beijing Normal University,40.514572,-88.99324,University Court,Normal,61761,United States
IMSc,46.780167,9.316995,Imschlacht,Valendas,7122,Switzerland
Ecole Normale Superieure,48.841705,2.3447924,Rue Rataud,Paris,75005,France
University of Essex,51.87703,0.9500789,Park Road,Colchester,CO4 3ZL,United Kingdom
IIT Mandi,31.775719,76.98745,Road To Iit Mandi Kamand Campus,Katoula,175075,India
Chalmers/GU,34.79895,-82.37519,Chalmers Road,Greenville,29605,United States
University of Athens,37.97004,23.765236,Αντωνίου Παπαδάκη,Athina,161 21,Greece
University of Siegen,50.87481,8.02431,Axeswende,Siegen,57072,Germany
Middlesex University,51.590298,-0.2296322,The Burroughs,London,NW4 4BL,United Kingdom
University of Warsaw,52.212296,20.985298,Włodzimierza Kołosa,Warszawa,02-097,Poland
UNICAMP,-22.822723,-47.0642,Rua Josué De Castro,Campinas,13083-876,Brazil
University of Exeter,50.73693,-3.5364766,Stocker Road,Exeter,EX4 4QL,United Kingdom
TU Ilmenau,50.682503,10.936506,Gustav-Kirchoff-Platz,Ilmenau,98693,Germany
University of Basel,40.924564,40.27574,Üni̇versi̇te Cadde,Of,61830,Türkiye
UNIST,35.57375,129.18973,유니스트길,Ulsan,44919,South Korea
South Asian University,28.484978,77.20102,Daffodil Lane,New Delhi,110068,India
Jilin University,28.597706,-81.219955,University Boulevard,Orlando,32817,United States
Simula UiB,-24.97669,17.28107,Uibes,,,Namibia
The Hong Kong Polytechnic University,-23.338585,-51.17245,Rua Hong Kong,Londrina,86050-340,Brazil
University of Dhaka,40.924564,40.27574,Üni̇versi̇te Cadde,Of,61830,Türkiye
University of Macau,40.924564,40.27574,Üni̇versi̇te Cadde,Of,61830,Türkiye
RWTH Aachen University,38.66667,-90.31497,Roth Avenue,University City,63130,United States
Pontificia Universidad Catolica de Chile,-33.615322,-70.59206,Universidad Católica,Puente Alto,8150000,Chile
THWS,49.749233,4.608808,Grande Rue,This,08090,France
PTIT,56.2922,38.17687,Птицеградская Улица,Сергиев Посад,141305,Russia
SUFE,46.57076,9.367091,Stückliweg,Sufers,7434,Switzerland
Koç University,38.663006,39.224255,Koç Sokak,Elazığ Merkez,23050,Türkiye
NAIST,59.198025,26.101736,46020,Naistevälja,,Estonia
Brandenburg University of Technology,40.924564,40.27574,Üni̇versi̇te Cadde,Of,61830,Türkiye
IIT (ISM) Dhanbad,23.795645,86.430435,Nh18,Dhanbad,826008,India
University of Fribourg,40.924564,40.27574,Üni̇versi̇te Cadde,Of,61830,Türkiye
University of Erlangen–Nuremberg,40.924564,40.27574,Üni̇versi̇te Cadde,Of,61830,Türkiye
IIT Bhilai,21.212383,81.37318,Nh53,Bhilai,490026,India
Weber State University,41.19332,-111.94613,South Dixon Drive,Ogden,84408,United States
"Mycologics, Llc",39.088017,-77.23883,Great Notch Terrace,North Potomac,20878,United States
Bocconi University,45.44972,9.18871,Piazza Angelo Sraffa,Milano,20136,Italy
ISI Kolkata,22.59228,88.41537,4th Cross Road,Bidhannagar,700091,India
University of Sydney,-33.896084,151.18466,Burren Street,Sydney,2042,Australia
Westlake University,30.136889,120.0755,310024,Hangzhou Shi,,China
IUST,35.742794,51.50574,Tehran,,,Iran
KAIST,37.56123,126.98324,Chungmuro 1-Ga,Seoul,04536,South Korea
University of Salerno,40.67545,14.79328,Via Guido Martuscelli,Salerno,84133,Italy
Loughborough University,52.762688,-1.2396365,University Road,Loughborough,LE11 3UQ,United Kingdom
Kyoto University,35.023453,135.77982,吉田二本松町,京都市,606-8316,Japan
Shandong University,37.532135,122.054504,264200,Weihai Shi,,China
University of Otago,-45.86498,170.51462,Leith Walk,Dunedin,9016,New Zealand
American University of Beirut,33.90003,35.482384,شارع بليس,بيروت,,Lebanon
University of Hannover,52.377632,9.754683,Fritz-Behrens-Allee,Hannover,30177,Germany
University of Magdeburg,52.12773,11.62916,Otto-Von-Guericke-Straße,Magdeburg,39104,Germany
Trinity College Dublin,53.343666,-6.2544446,New Square,Dublin,D02,Ireland
KMUTNB,13.823477,100.51224,บ้านพิบูลย์ ซอย 14,Bangkok,10800,Thailand
Humboldt University of Berlin,52.51858,13.392879,Universitätsstraße,Berlin,10117,Germany
IPM,35.800327,51.46277,Tehran,,,Iran
TeIAS,38.612316,27.353216,Tei̇aş 3.İlt.Tes. Sokak,Yunusemre,45030,Türkiye
"Rizlab Health, Inc.",40.356342,-74.59446,College Road East,Princeton,08540,United States
"Zeovation, Inc.",39.997677,-83.042145,Kinnear Road,Columbus,43212,United States
University Of California Santa Barbara,34.423347,-119.70343,Library Avenue,Santa Barbara,93101,United States
Tortuga Agricultural Technologies,39.78839,-105.0013,Kalamath Street,Denver,80221,United States
Pneumonix Medical Inc.,39.32293,-76.61924,West 29th Street,Baltimore,21218,United States
Kennesaw State University,34.03481,-84.5826,Kennesaw State University Road,Kennesaw,30144,United States
Ripple Effect Water Literacy Project,29.919794,-90.083694,Saint Thomas Street,New Orleans,70115,United States
University Of Wisconsin-River Falls,44.858517,-92.62597,North Main Street,River Falls,54022,United States
The Foundation For Santa Barbara City College,34.423347,-119.70343,Library Avenue,Santa Barbara,93101,United States
"Granted Advisors, Llc",30.01574,-90.04228,Press Drive,New Orleans,70126,United States
Smartbot360,33.97888,-117.37299,10th Street,Riverside,92501,United States
"Avisi Technologies, Inc",37.454323,-122.22854,Woodside Road,Redwood City,94061,United States
University Of Nevada Reno,40.443924,-79.95076,South Bellefield Avenue,Pittsburgh,15213,United States
Sonix Medical Devices Inc.,34.13152,-83.792625,Adams Avenue,Braselton,30517,United States
"Blue Cranium, Llc",41.462994,-81.84729,Center Ridge Road,Rocky River,44116,United States
"Upshot Ventures, Llc",39.77751,-105.044846,Utica Street,Denver,80212,United States
UFRJ,-22.85335,-43.23317,Avenida Horácio Macedo,Rio de Janeiro,21941-598,Brazil
RMIT University,-37.80601,144.96393,Cardigan Street,Melbourne,3053,Australia
Galatasaray University,41.045994,29.020462,Çırağan Caddesi,Beşiktaş,34349,Türkiye
IISc Bangalore,13.022235,77.567184,Gulmohar Marg,Bengaluru,560012,India
University of Padova,45.40797,11.88586,Via Paolotti,Padova,35121,Italy
LUMS,31.437937,73.12997,Faisalabad,,,Pakistan
IIT Ropar,30.96595,76.47298,Iit Ropar (Main Campus) Road,Rup Nagar,140001,India
Ucla,42.388664,-71.119484,Massachusetts Avenue,Cambridge,02140,United States
LMU Munich,48.246986,11.544935,Sankt-Hubertus-Straße,Oberschleißheim,85764,Germany
Tampere University,61.494728,23.777767,Kalevantie,Tampere,33100,Finland
IIT Roorkee,29.866165,77.89574,Thomson Marg,Roorkee,247667,India
University of Jordan,32.01341,35.873383,شارع خليل الساكت,الجامعة,,Jordan
University of Crete,35.3538,24.449629,Παράπλευρη Οδός,Rethymno,741 50,Greece
