Name,Department,Affiliation,Homepage,Matched Areas
A. Akbariazirani,IUST,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,iros
A. B. Siddique 0001,University of Kentucky,University of Kentucky,http://cs.uky.edu/~siddique,"kdd, sigir, vldb, www"
A. Jefferson Offutt,University at Albany - SUNY,University at Albany - SUNY,https://www.albany.edu/faculty/offutt,"fse, icse, issta, pldi"
A. Prasad Sistla,University of Illinois at Chicago,University of Illinois at Chicago,https://www.cs.uic.edu/Sistla,"acl, cav, ccs, focs, icde, lics, oopsla, popl, sigmod, stoc, vldb"
A. Robert Calderbank,Duke University,Duke University,https://ece.duke.edu/faculty/robert-calderbank,"cvpr, hpca, iccv, iclr, icml, naacl, nips, soda"
A. Rupam Mahmood,University of Alberta,University of Alberta,https://armahmood.github.io,"iclr, icml, icra, ijcai, iros, nips"
A. Selcuk Uluagac,Florida International University,Florida International University,http://nweb.eng.fiu.edu/selcuk,"ndss, pets, sigcse, usenixsec, www"
A. T. Chamillard,UCCS,UCCS,http://www.uccs.edu/cs/about/faculty/tim-chamillard.html,"issta, sigcse"
A. Udaya Shankar,University of Maryland - College Park,University of Maryland - College Park,https://www.cs.umd.edu/users/shankar,"mobisys, oakland, rtss, sigcomm, sigmetrics"
Aanjhan Ranganathan,Northeastern University,Northeastern University,https://www.aanjhan.com,"mobicom, ndss, oakland, pets, usenixsec"
Aapo Hyvärinen,University of Helsinki,University of Helsinki,https://www.cs.helsinki.fi/u/ahyvarin,"icml, nips"
Aarne Ranta,Chalmers/GU,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/aarne-ranta.aspx,icfp
Aaron Bernstein,New York University,New York University,https://wp.nyu.edu/tandonschoolofengineering-aaronbernstein,"focs, soda, stoc"
Aaron C. Courville,University of Montreal,University of Montreal,https://aaroncourville.wordpress.com,"aaai, acl, cvpr, eccv, emnlp, iccv, iclr, icml, ijcai, iros, naacl, nips, rss"
Aaron Clauset,University of Colorado Boulder,University of Colorado Boulder,https://www.colorado.edu/faculty/clauset,"aaai, stoc, ubicomp, www"
Aaron F. Bobick,Washington University in St. Louis,Washington University in St. Louis,https://engineering.washu.edu/faculty/Aaron-Bobick.html,"aaai, chiconf, cvpr, eccv, iccv, icra, iros, siggraph"
Aaron J. Elmore,University of Chicago,University of Chicago,http://people.cs.uchicago.edu/~aelmore,"icde, icml, micro, sigir, sigmod, uist, usenixatc, vldb"
Aaron M. Dollar,Yale University,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/aaron-m-dollar,"icra, iros, rss"
Aaron McFadyen,Queensland University of Technology,Queensland University of Technology,https://research.qut.edu.au/qcr/people/aaron-mcfadyen,iros
Aaron Potechin,University of Chicago,University of Chicago,http://www.potechin.org/aaronpotechin,"focs, nips, soda, stoc"
Aaron Roth 0001,University of Pennsylvania,University of Pennsylvania,http://www.cis.upenn.edu/~aaroth,"aaai, cvpr, ec, emnlp, focs, icfp, iclr, icml, ijcai, nips, oopsla, popl, soda, stoc, wine"
Aaron Schulman,Univ. of California - San Diego,Univ. of California - San Diego,http://cseweb.ucsd.edu/~schulman,"asplos, ccs, imc, mobicom, mobisys, nsdi, oakland, sigcomm, usenixsec"
Aaron Sidford,Stanford University,Stanford University,http://www.aaronsidford.com,"focs, icml, ijcai, nips, soda, stoc"
Aaron Steven White,University of Rochester,University of Rochester,http://aaronstevenwhite.io,"acl, emnlp, naacl"
Aaron Striegel,University of Notre Dame,University of Notre Dame,https://engineering.nd.edu/profiles/astriegel,"hpdc, imc, mobicom, sc, ubicomp"
Aaron Stump,University of Iowa,University of Iowa,https://www.cs.uiowa.edu/~astump,"cav, icfp, lics, popl"
Aarti Gupta,Princeton University,Princeton University,https://www.cs.princeton.edu/people/profile/aartig,"ase, asplos, cav, dac, emsoft, eurosys, fse, iccad, iclr, icse, ijcai, issta, lics, micro, nsdi, pldi, popl, rtss, sigcomm"
Aarti Singh,Carnegie Mellon University,Carnegie Mellon University,http://www.cs.cmu.edu/~aarti,"aaai, iclr, icml, nips"
Aastha Mehta,University of British Columbia,University of British Columbia,https://aasthakm.github.io,"eurosys, oakland, usenixsec"
Aayush Jain,Carnegie Mellon University,Carnegie Mellon University,https://sites.google.com/view/aayushjain,"crypto, eurocrypt, focs, icml, icra, stoc"
Abby Stylianou,Saint Louis University,Saint Louis University,https://cs.slu.edu/people/stylianou,"aaai, cvpr, eccv, nips"
Abdallah Saffidine,UNSW,UNSW,http://www.cse.unsw.edu.au/~abdallahs,"aaai, ijcai, stoc"
AbdelRahman Abdou,Carleton University,Carleton University,http://people.scs.carleton.ca/~abdou,usenixsec
Abdelhakim Hafid,University of Montreal,University of Montreal,http://www.iro.umontreal.ca/~ahafid,hpdc
Abdelsalam Helal,University of Florida,University of Florida,http://www.cise.ufl.edu/~helal,"icde, sigmod, ubicomp, www"
Abdeltawab M. Hendawi,University of Rhode Island,University of Rhode Island,https://homepage.cs.uri.edu/~ahendawi,"icde, sigcse"
Abdeslam Boularias,Rutgers University,Rutgers University,http://www.abdeslam.net,"aaai, icml, icra, ijcai, iros, nips, rss"
Abdol-Hossein Esfahanian,Michigan State University,Michigan State University,http://www.cse.msu.edu/~esfahani,"aaai, kdd"
Abdou Youssef,George Washington University,George Washington University,https://www.seas.gwu.edu/~ayoussef,"isca, sigir"
Abdoulaye Baniré Diallo,Université du Québec à Montréal,Université du Québec à Montréal,https://professeurs.uqam.ca/professeur/diallo.abdoulaye,"aaai, ijcai, ismb"
Abdul Sattar 0001,Griffith University,Griffith University,https://experts.griffith.edu.au/18511-abdul-sattar,"aaai, icde, ijcai"
Abdul Serwadda,Texas Tech University,Texas Tech University,http://www.depts.ttu.edu/CS/faculty/faculty.php?name=Abdul%20Serwadda,ccs
Abdullah Al Redwan Newaz,University of New Orleans,University of New Orleans,https://www.uno.edu/profile/faculty/abdullah-al_redwan-newaz,icra
Abdullah Al-Mamun 0001,Augusta University,Augusta University,https://www.augusta.edu/faculty/directory/view.php?id=AALMAMUN,"icde, sc"
Abdullah Mueen,University of New Mexico,University of New Mexico,http://www.cs.unm.edu/~mueen,"aaai, kdd, pets, sigmod, www"
Abdullah Muzahid,Texas A&M University,Texas A&M University,http://people.tamu.edu/~abdullah.muzahid/index.html,"eurosys, hpca, isca, micro, nips"
Abdullah Uz Tansel,CUNY,CUNY,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/Abdullah-Uz-Tansel,"icde, sigmod"
Abe Davis,Cornell University,Cornell University,http://abedavis.com,"chiconf, cvpr, eccv, eurographics, iccv, siggraph, siggraph-asia, uist"
Abel Souza,Univ. of California - Santa Cruz,Univ. of California - Santa Cruz,https://asouza.io,"asplos, eurosys"
Abhi Shelat,Northeastern University,Northeastern University,https://shelat.khoury.northeastern.edu,"aaai, ccs, crypto, eurocrypt, focs, oakland, soda, stoc, usenixsec, wine"
Abhijit Mahalanobis,University of Central Florida,University of Central Florida,https://www.crcv.ucf.edu/person/abhijit-mahalanobis,eccv
Abhinav Bhatele,University of Maryland - College Park,University of Maryland - College Park,http://www.cs.umd.edu/~bhatele,"eurographics, hpdc, ics, nips, sc, vis"
Abhinav Gupta 0001,Carnegie Mellon University,Carnegie Mellon University,http://www.cs.cmu.edu/~abhinavg,"aaai, cvpr, eccv, iccv, iclr, icml, icra, iros, nips, rss, siggraph, siggraph-asia"
Abhinav Shrivastava,University of Maryland - College Park,University of Maryland - College Park,http://abhinavsh.info,"aaai, cvpr, eccv, iccv, iclr, icml, icra, iros, nips, siggraph-asia"
Abhinav Verma 0001,Pennsylvania State University,Pennsylvania State University,https://averma8053.github.io,"iclr, icml, nips"
Abhishek Bhattacharjee,Yale University,Yale University,https://cpsc.yale.edu/people/abhishek-bhattacharjee,"asplos, hpca, isca, micro, sosp"
Abhishek Chandra,University of Minnesota,University of Minnesota,http://www-users.cs.umn.edu/~chandra,"aaai, hpdc, osdi, sigmetrics, usenixatc"
Abhishek Dubey,Vanderbilt University,Vanderbilt University,https://engineering.vanderbilt.edu/bio/?pid=abhishek-dubey,"aaai, iclr, icml, ijcai, rtas"
Abhishek Gupta 0004,University of Washington,University of Washington,https://abhishekunique.github.io,"aaai, cvpr, iclr, icml, icra, iros, nips, rss"
Abhishek Jain 0002,Johns Hopkins University,Johns Hopkins University,https://www.cs.jhu.edu/faculty/abhishek-jain,"ccs, crypto, eurocrypt, focs, oakland, pets, stoc, usenixsec"
Abhradeep Thakurta,Univ. of California - Santa Cruz,Univ. of California - Santa Cruz,https://aguhatha.github.io,"aaai, focs, iclr, icml, kdd, nips, oakland, pets, sigmod, soda, stoc, vldb"
Abolfazl Asudeh,University of Illinois at Chicago,University of Illinois at Chicago,https://asudeh.github.io,"icde, kdd, sigmod, vldb"
Abolfazl Razi,Clemson University,Clemson University,https://arazi.people.clemson.edu,"aaai, eccv, icml"
Abolfazl S. Motahari,Sharif University of Technology,Sharif University of Technology,http://ce.sharif.edu/faculty/abolfazl-motahari,"iclr, icml, nips"
Abraham Bernstein,University of Zurich,University of Zurich,http://www.ifi.uzh.ch/ddis/people/bernstein.html,"chiconf, emnlp, fse, icde, ijcai, oakland, vldb, www"
Abram Hindle,University of Alberta,University of Alberta,http://softwareprocess.es,"fse, icse"
Abtin Rahimian,University of Colorado Boulder,University of Colorado Boulder,http://home.cs.colorado.edu/~abra3237,"sc, siggraph"
Abusayeed Saifullah,Wayne State University,Wayne State University,https://engineering.wayne.edu/profile/gi8674,"rtas, rtss, sensys"
Achim J. Lilienthal,TU Munich,TU Munich,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/pl/ui/$ctx/visitenkarte.show_vcard?$ctx=design=ca2;header=max;lang=de&pPersonenGruppe=3&pPersonenId=6F846EED5618D470,"icra, iros, rss"
Achim Schweikard,University of Lübeck,University of Lübeck,https://www.rob.uni-luebeck.de/index.php?id=321,"icra, iros"
Achim Streit,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,http://www.scc.kit.edu/personen/achim.streit.php,hpdc
Achuta Kadambi,Univ. of California - Los Angeles,Univ. of California - Los Angeles,https://www.ee.ucla.edu/achuta-kadambi,"cvpr, eccv, iccv, iclr, iros, nips, siggraph, siggraph-asia, uist"
Ada Gavrilovska,Georgia Institute of Technology,Georgia Institute of Technology,http://www.cc.gatech.edu/home/ada,"eurosys, hpca, hpdc, isca, oopsla, pets, sigcse, usenixatc, vldb"
Ada Lerner,Northeastern University,Northeastern University,https://www.khoury.northeastern.edu/people/ada-lerner,"ccs, chiconf, mobisys, oakland, pets, usenixsec"
Adalbert Gerald Soosai Raj,Univ. of California - San Diego,Univ. of California - San Diego,https://adalbertgerald.github.io,sigcse
Adam A. Porter,University of Maryland - College Park,University of Maryland - College Park,https://www.cs.umd.edu/users/aporter,"ase, fse, icse, issta"
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Univ. of Illinois at Urbana-Champaign,http://adambates.org,"ccs, chiconf, imc, ndss, oakland, usenixsec, www"
Adam Belay,Massachusetts Institute of Technology,Massachusetts Institute of Technology,https://engineering.mit.edu/faculty-research/year-2017,"eurosys, nsdi, oakland, osdi, sosp"
Adam Breuer,Dartmouth College,Dartmouth College,https://www.adambreuer.com,"eccv, icml, kdd, nips, www"
Adam Chlipala,Massachusetts Institute of Technology,Massachusetts Institute of Technology,http://adam.chlipala.net,"asplos, cav, ccs, icfp, icse, lics, oakland, oopsla, osdi, pldi, popl, sosp, usenixatc"
Adam Czajka,University of Notre Dame,University of Notre Dame,https://engineering.nd.edu/profiles/aczajka,"aaai, cvpr"
Adam D. Smith 0001,Boston University,Boston University,http://cs-people.bu.edu/ads22,"ccs, crypto, eurocrypt, focs, iclr, icml, kdd, nips, oakland, pets, pods, soda, stoc, vldb"
Adam Doupé,Arizona State University,Arizona State University,http://adamdoupe.com,"aaai, asplos, ccs, imc, mobisys, ndss, oakland, sigcse, usenixsec"
Adam Dziedzic,CISPA Helmholtz Center,CISPA Helmholtz Center,https://adam-dziedzic.com,"aaai, acl, cvpr, iclr, icml, nips, pets"
